"РАСПИСАНИЕ ПРИЕМА ВРАЧЕЙ-СПЕЦИАЛИСТОВ<br />(ул.К.Беляева,д.1А) (с 01.04.2020г.)",,,,,,,
СПЕЦИАЛИСТ,№ КАБ.,ПН,ВТ,СР,ЧТ,ПТ,ПРИМЕЧАНИЕ
Ларина О.В.<br />непролог,7,12.00-18.00,09.30-14.00,08.00-14.00,12.00-18.00,08.00-14.00,
Суслова Е.Н.<br />невролог,15,12.00-18.00,09.00-15.00,08.30-14.30,08.30-14.30,08.00-14.00,C 13.04 - ЛН
Липкина В.В.<br />офтальмолог,8,08.00-14.00,09.00-14.00,08.00-14.00,11.00-17.00,08.00-14.00,
Кузнецова В.П.<br />оториноларинголог,14,Чётные дни<br />Нечётные дни,08.00.13.00<br />13.30-18.00,,,,С 25.03 - ЛН
Масленникова Л.Ю.<br />оториноларинголог,14,Чётные дни<br />Нечётные дни,13.30-18.00<br />08.00-13.00,,,,
Егоров С.А.<br />травматолог,12,14.00-16.00<br />Травма (М),14.00-16.00,14.00-16.00<br />Травма (М),13.00-15.00,08.00-15.00,М - ул.Московская д.2А
Ваниев Р.И<br />ортопед-травматолог,12,11.00-13.00,08.00-10.00<br />Травма (М),14.00-16.00,,11.00-13.00<br />Травма (М),М - ул.Московская д.2А
Чижова Е.Д.<br />(УЗД),13,10.00-14.00,09.30-11.30,08.30-11.00,08.00-11.00,10.00-13.30,
Ларинова О.В.<br />(УЗД),13,,12.00-14.00,,,,
Егорова Л.П.<br />кардиолог,9,08.30-11.30,08.30-11.30, ,,,
Благородинова Г.Ю.<br />хирург-уролог,10,08.00-14.00,08.00-14.00,08.00-14.00,11.00-17.00,08.00-14.00,
Сафонова Т.Н.<br />гинеколог,16,,14.30-16.30,,,09.00-11.00,
Барашкова Е.Н.<br />психиатр,15,,,14.00-16.00,,,С 01.04 - отпуск
Лесихина Т.А.<br />логопед,7,08.00-11.00,14.00-17.00,14.30-17.00,Проф.день,14.30-17.00,
Гришина Н.Б.<br />дерматолог,506<br />М,,14.00-17.00,,,,М - ул.Московская д.2А
ЭКГ,9,12.00-14.00,12.00-14.00,08.30-10.00,08.30-11.00,12.00-14.00,
Шинякова О.П.<br />массаж,5,08.00-13.00,08.00-13.00,08.00-13.00,08.00-13.00,08.00-13.00,
Илюшичев А.Р.<br />массаж,5,14.00-19.00,14.00-19.00,14.00-19.00,14.00-19.00,14.00-19.00,
Мереуца Р.И.<br />массаж,5,08.00-13.00,08.00-13.00,,,,
